date,spot,futures
4/30/2006,533.86,537.5
5/31/2006,492.52,490.4
6/30/2006,471.54,468.8
7/31/2006,482.63,475.4
8/31/2006,482.43,476.7
9/30/2006,480.3,490
10/31/2006,504.55,512.3
11/30/2006,515.93,520.8
12/31/2006,473.27,475
1/31/2007,456.89,455
2/28/2007,475.66,469.7
3/31/2007,471.93,466.7
4/30/2007,491.97,497
5/31/2007,523.4,523
6/30/2007,550.01,547.9
7/31/2007,617.33,609.1
8/31/2007,586.31,591.7
9/30/2007,616.03,619.8
10/31/2007,672.79,686.5
11/30/2007,622.63,624
12/31/2007,630.73,634
1/31/2008,567.17,562
2/29/2008,614.37,618.2
3/31/2008,587.61,584.6
4/30/2008,599.3,604.4
5/31/2008,597.82,605
6/30/2008,548.95,538.2
7/31/2008,473.85,463
8/31/2008,485.25,481.9
9/30/2008,417.23,416.1
10/31/2008,288.76,279.9
11/30/2008,279.83,277.1
12/31/2008,316.45,308.6
1/31/2009,303.59,294
2/28/2009,299.58,291.5
3/31/2009,300.2,293.2
4/30/2009,346.81,343.1
5/31/2009,398.36,398.3
6/30/2009,430.35,426.7
7/31/2009,449.91,445.1
8/31/2009,467.27,459.8
9/30/2009,511.82,511.5
10/31/2009,483.67,476.4
11/30/2009,483.54,481.1
12/31/2009,520.69,515.6
1/31/2010,490.77,484
2/28/2010,507.68,499.7
3/31/2010,558.28,553
4/30/2010,538.93,533.9
5/31/2010,524.14,519.6
6/30/2010,547.46,542.9
7/31/2010,583.83,576.4
8/31/2010,622.67,621.4
9/30/2010,674.42,677.2
10/31/2010,677.52,675.5
11/30/2010,698.46,698.6
12/31/2010,720.19,716.8
1/31/2011,668.58,662.7
2/28/2011,690.89,683.9
3/31/2011,735.98,729.2
4/30/2011,770.69,774.7
5/31/2011,754.08,758.1
6/30/2011,729.78,727
7/31/2011,794.01,793.8
8/31/2011,747.07,745.8
9/30/2011,636.3,622.3
10/31/2011,691.97,679.1
11/30/2011,697.33,693.2
12/31/2011,718.4,709.3
1/31/2012,757.45,755.5
2/29/2012,818.78,821.1
3/31/2012,842.91,843
4/30/2012,863.82,863.1
5/31/2012,791.54,789.1
6/30/2012,814.38,813.7
7/31/2012,828.67,821.9
8/31/2012,840.32,837.5
9/30/2012,886.58,888.4
10/31/2012,879.06,879.6
11/30/2012,898.81,903.8
12/31/2012,945.39,949
1/31/2013,988.21,987.3
2/28/2013,1014.03,1006.9
3/31/2013,1024.92,1022.5
4/30/2013,1055.62,1057.2
5/31/2013,1029.01,1031
6/30/2013,982.99,980.2
7/31/2013,966.03,956
8/31/2013,882.98,869.9
9/30/2013,940.88,939.7
10/31/2013,987.06,986.8
11/30/2013,935.22,934.3
12/31/2013,883.4,871.3
1/31/2014,866.34,861.7
2/28/2014,899.51,891.1
3/31/2014,935.76,927
4/30/2014,959.51,958.6
5/31/2014,952.2,951.2
6/30/2014,999.62,993.9
7/31/2014,1006.97,1005
8/31/2014,1044.25,1042.2
9/30/2014,1057.22,1055.5
10/31/2014,1053.22,1052.5
11/30/2014,1069.36,1074.6
12/31/2014,1001.01,994.5
1/31/2015,1050.29,1049.7
2/28/2015,1042.8,1037.1
3/31/2015,997.66,992
4/30/2015,1006.1,1004.5
5/31/2015,985.37,978.6
6/30/2015,989.21,980.3
7/31/2015,950.42,937.8
8/31/2015,905.68,895.4
9/30/2015,868.71,857
10/31/2015,899.52,897
11/30/2015,869.38,867.4
12/31/2015,813.55,804.7
1/31/2016,826.21,818
2/29/2016,851.02,843.6
3/31/2016,905.93,902.6
4/30/2016,891.83,890.1
5/31/2016,911.11,909.3
6/30/2016,910.56,907.6
7/31/2016,964.44,962.6
8/31/2016,983.26,980
9/30/2016,944.42,944.5
10/31/2016,936.66,935.4
11/30/2016,943.18,946.8
12/31/2016,964.84,962.5
1/31/2017,984.21,984.8
2/28/2017,978.46,979
3/31/2017,996.44,994.5
4/30/2017,993.98,992.4
5/31/2017,986.08,987.7
6/30/2017,994.35,993.7
7/31/2017,1003.96,1002.6
8/31/2017,1034.29,1034.3
9/30/2017,1068.92,1070.5
10/31/2017,1094.74,1095.1
11/30/2017,1085.86,1090.9
12/31/2017,1135.14,1133
1/31/2018,1186.16,1185.1
2/28/2018,1205.57,1205.1
3/31/2018,1171.79,1170.4
4/30/2018,1177.02,1179.3
5/31/2018,1134.76,1137.3
6/30/2018,1051.63,1048.1
7/31/2018,1127.56,1124.2
8/31/2018,1138.8,1135.3
9/30/2018,1158.75,1157.9
10/31/2018,1102.49,1099.4
11/30/2018,1091.55,1092.7
12/31/2018,1044.92,1046.4
1/31/2019,1096.5,1091
2/28/2019,1099.3,1095.6
3/31/2019,1090.94,1086.5
4/30/2019,1112.39,1113
5/31/2019,1074.87,1074.1
6/30/2019,1150.85,1151
7/31/2019,1130.92,1129
8/31/2019,1096.47,1089.3
9/30/2019,1090.31,1089
10/31/2019,1073.26,1072.1
11/30/2019,1070.23,1072.1
12/31/2019,1068.5,1070.4
